X  Y  Class
1.125 0.125 9
0.375 7.625 8
0.375 5.375 6
6.625 4.375 53
5.625 6.125 47
2.375 0.125 17
7.125 6.625 63
3.125 5.875 30
2.375 2.375 19
6.625 3.875 52
0.875 1.625 2
2.625 3.875 20
5.625 2.875 43
1.625 2.125 11
6.375 2.875 51
2.375 6.625 23
2.875 7.625 24
5.625 5.625 46
2.125 3.125 20
7.125 3.625 60
7.375 4.125 61
1.875 7.125 16
1.875 3.875 12
0.125 4.625 5
5.875 5.375 46
0.625 0.125 1
1.375 2.375 11
5.875 4.875 45
7.125 0.375 57
1.875 4.875 13
1.375 6.125 15
2.625 4.375 21
4.625 2.625 35
4.125 6.125 39
6.625 7.375 56
0.875 5.375 6
3.875 7.875 32
2.875 3.625 20
5.125 2.625 43
1.875 7.625 16
7.875 4.625 61
3.875 3.875 28
1.625 6.875 15
0.625 0.625 1
2.125 6.875 23
0.875 5.125 6
1.625 4.125 13
5.625 0.875 41
3.375 6.625 31
1.625 7.375 16
5.875 1.125 42
1.125 2.125 11
2.625 4.625 21
5.875 5.625 46
0.625 1.875 2
4.625 4.625 37
4.375 6.875 39
6.375 4.625 53
7.375 6.625 63
1.625 6.625 15
6.125 5.125 54
4.875 6.375 39
2.875 4.375 21
4.625 4.375 37
1.125 5.375 14
6.375 1.625 50
2.875 2.125 19
0.125 6.125 7
3.125 3.125 28
6.125 6.125 55
2.125 6.625 23
7.375 2.625 59
3.375 4.875 29
0.125 3.875 4
3.125 0.875 25
0.125 0.375 1
3.125 0.125 25
6.375 7.875 56
7.125 5.625 62
1.375 4.125 13
5.625 2.125 43
5.125 5.125 46
4.875 7.125 40
0.125 5.125 6
0.375 7.375 8
6.875 3.625 52
3.125 4.125 29
5.875 4.625 45
0.625 5.125 6
6.125 3.125 52
4.125 3.875 36
2.375 4.125 21
7.375 5.875 62
4.875 3.625 36
0.375 0.125 1
1.875 7.375 16
1.125 7.375 16
2.375 2.625 19
0.375 3.625 4
1.375 0.125 9
4.125 6.875 39
6.375 6.375 55
7.625 0.875 57
1.625 7.625 16
2.625 4.125 21
2.625 0.125 17
4.875 5.875 38
3.625 6.125 31
4.875 6.125 39
4.875 3.375 36
7.875 6.625 63
4.125 4.875 37
0.625 4.375 5
1.125 7.625 16
3.125 1.375 26
4.625 5.625 38
3.625 5.625 30
6.875 4.125 53
6.625 5.875 54
1.625 2.625 11
7.625 6.125 63
0.875 5.875 6
7.875 0.875 57
7.875 7.125 64
3.375 7.625 32
0.625 7.875 8
0.875 3.875 4
3.875 5.375 30
3.625 6.875 31
0.375 5.625 6
5.625 5.875 46
1.375 3.625 12
1.875 0.375 9
5.125 7.875 48
4.375 0.375 33
0.875 6.625 7
7.875 5.375 62
6.625 5.625 54
3.375 4.375 29
1.875 6.875 15
7.125 6.125 63
1.875 0.625 9
5.875 1.375 42
6.875 1.375 50
4.875 6.875 39
5.875 0.375 41
0.125 0.875 1
3.375 3.375 28
4.875 6.625 39
0.375 6.625 7
1.375 6.625 15
7.625 0.125 57
3.625 2.625 27
5.125 4.625 45
6.375 0.375 49
1.125 7.125 16
4.125 1.125 34
4.875 7.875 40
2.125 1.875 18
3.875 3.625 28
5.125 1.625 42
6.375 5.875 54
2.875 7.875 24
2.625 7.125 24
5.875 4.125 45
5.625 3.125 44
6.125 2.375 51
5.125 0.875 41
5.125 2.875 43
0.875 0.875 1
0.875 6.125 7
0.625 0.875 1
6.625 3.125 52
3.625 6.375 31
7.625 3.625 60
5.125 6.125 47
1.375 0.375 9
2.625 2.375 19
4.625 2.125 35
0.125 1.875 2
0.625 3.375 4
0.375 1.125 2
5.125 1.125 42
4.625 4.125 37
3.875 0.875 25
5.625 6.375 47
2.125 6.375 23
7.625 6.875 63
5.375 6.625 47
5.375 1.625 42
1.125 1.875 10
7.625 4.125 61
1.125 4.625 13
6.625 7.875 56
7.625 7.625 64
2.125 2.875 19
7.625 2.875 59
3.625 0.125 25
1.125 2.875 11
3.875 6.625 31
5.875 7.875 48
7.625 1.375 58
4.875 7.375 40
1.375 4.875 13
2.625 1.375 18
7.125 1.875 58
0.625 6.375 7
4.125 0.375 33
2.625 4.875 21
3.625 7.125 32
6.375 5.625 54
4.875 1.125 34
6.875 7.125 56
4.125 1.875 34
2.625 1.125 18
2.875 7.375 24
2.125 6.125 23
1.375 5.875 14
0.125 2.125 3
6.625 6.875 55
4.125 6.625 39
6.125 0.625 49
1.625 3.875 12
2.875 6.625 23
0.875 0.125 1
1.625 5.875 14
5.625 6.875 47
1.875 3.375 12
4.875 1.875 34
3.875 3.375 28
1.875 5.875 14
2.125 7.375 24
3.625 2.375 27
6.375 6.625 55
6.625 0.625 49
6.375 6.875 55
0.875 7.375 8
0.125 7.125 8
1.375 5.375 14
2.625 0.875 17
4.125 3.625 36
1.375 0.875 9
4.125 0.625 33
2.875 5.125 22
2.125 7.875 24
3.125 5.625 30
4.875 0.125 33
2.375 3.125 20
4.875 3.125 36
5.375 3.375 44
0.875 4.375 5
0.625 5.625 6
1.375 0.625 9
7.375 6.875 63
0.375 7.875 8
0.625 3.625 4
6.875 5.625 54
6.875 7.875 56
7.125 0.875 57
3.875 7.375 32
3.875 7.125 32
6.125 0.125 49
2.875 3.375 20
0.875 2.875 3
1.125 5.875 14
2.625 2.625 19
4.625 7.125 40
3.125 6.125 31
0.625 4.125 5
7.375 1.625 58
1.125 1.125 10
2.875 0.625 17
0.875 7.125 8
1.625 1.625 10
2.125 3.375 20
6.125 6.875 55
2.625 3.375 20
6.875 7.375 56
0.875 1.875 2
0.625 1.625 2
1.875 2.375 11
4.875 5.375 38
7.875 2.875 59
3.125 5.125 30
7.125 0.125 57
6.125 2.875 51
6.375 7.125 56
4.625 5.875 38
4.375 1.875 34
7.125 6.875 63
4.625 1.625 34
2.375 1.875 18
5.625 4.375 45
4.375 2.125 35
1.875 3.625 12
0.125 1.125 2
6.875 3.375 52
1.875 5.375 14
5.375 6.875 47
5.125 2.125 43
3.125 6.625 31
0.125 6.375 7
3.125 3.625 28
4.125 4.375 37
7.125 6.375 63
0.375 4.875 5
3.375 2.375 27
5.125 3.875 44
3.875 7.625 32
7.875 3.875 60
0.125 7.375 8
4.875 0.875 33
3.125 6.375 31
7.375 0.875 57
2.375 7.125 24
5.375 2.375 43
4.875 5.625 38
5.875 1.625 42
4.375 6.125 39
2.375 1.625 18
3.625 4.375 29
0.125 3.125 4
6.875 3.875 52
7.875 5.875 62
7.625 5.625 62
3.375 5.375 30
7.875 7.875 64
2.125 2.625 19
7.875 1.625 58
2.375 6.875 23
4.625 1.125 34
2.625 6.375 23
2.625 6.125 23
7.125 2.875 59
6.375 7.375 56
5.875 6.875 47
6.375 2.625 51
4.375 3.625 36
4.125 2.375 35
3.375 7.375 32
2.125 4.125 21
2.125 2.375 19
5.375 5.875 46
4.625 4.875 37
5.375 4.125 45
5.875 0.625 41
5.625 1.125 42
7.125 2.375 59
2.375 0.875 17
7.875 1.875 58
0.875 0.375 1
6.875 1.875 50
7.875 4.875 61
0.875 4.125 5
1.875 6.625 15
6.375 2.375 51
0.625 5.875 6
1.625 1.375 10
1.625 3.375 12
5.625 7.625 48
4.125 4.625 37
4.875 5.125 38
1.875 6.125 15
6.625 0.125 49
1.125 7.875 16
1.375 5.125 14
0.125 7.625 8
6.875 5.875 54
3.375 3.875 28
0.125 6.875 7
2.875 7.125 24
1.875 2.125 11
3.125 3.375 28
2.875 5.625 22
4.625 5.125 38
7.375 4.625 61
3.375 4.625 29
6.125 4.875 53
6.375 4.875 53
5.625 1.375 42
6.875 0.875 49
2.875 1.375 18
3.625 3.125 28
4.375 7.625 40
4.375 0.625 33
4.375 1.625 34
3.125 4.875 29
1.125 3.375 12
5.125 0.625 41
7.375 5.625 62
6.375 6.125 55
0.125 1.375 2
3.375 0.875 25
4.375 5.375 38
6.375 0.625 49
4.625 7.375 40
7.375 0.375 57
5.125 3.375 44
3.625 5.375 30
7.625 7.875 64
4.625 3.625 36
7.625 6.375 63
0.625 7.375 8
4.625 6.375 39
6.625 2.375 51
2.375 4.625 21
4.625 0.375 33
3.375 0.375 25
6.875 2.875 51
4.125 5.875 38
4.875 4.875 37
5.375 2.125 43
0.375 6.375 7
3.875 1.625 26
1.875 4.125 13
5.625 2.625 43
3.375 4.125 29
3.375 1.625 26
6.875 4.875 53
4.375 1.125 34
3.125 7.125 32
3.625 3.875 28
6.875 1.625 50
2.875 0.875 17
3.625 4.125 29
6.375 0.875 49
2.125 7.125 24
6.625 0.875 49
6.125 4.625 53
3.625 1.375 26
5.875 5.875 46
4.125 7.875 40
7.375 6.375 63
1.625 5.125 14
0.125 3.625 4
3.375 5.875 30
4.625 3.375 36
1.625 3.125 12
7.625 2.125 59
5.125 6.625 47
5.875 0.125 41
4.375 7.375 40
7.875 1.375 58
4.125 7.125 40
2.375 3.625 20
6.875 6.875 55
1.125 2.375 11
4.375 6.625 39
0.875 3.625 4
0.125 4.375 5
6.375 3.875 52
4.125 4.125 37
7.875 0.625 57
3.625 7.375 32
1.875 2.875 11
2.625 1.625 18
0.625 3.125 4
6.625 2.125 51
0.375 2.375 3
0.125 3.375 4
5.375 5.125 46
7.875 3.375 60
4.625 2.875 35
1.125 5.625 14
4.875 4.125 37
3.875 5.125 30
6.625 4.625 53
1.625 3.625 12
6.375 1.875 50
6.125 1.875 50
2.875 4.625 21
4.375 4.375 37
6.875 2.625 51
0.375 7.125 8
5.375 4.625 45
2.875 4.875 21
3.375 7.125 32
3.125 2.875 27
0.625 1.375 2
2.125 4.625 21
5.625 3.625 44
0.125 5.375 6
0.625 7.625 8
2.125 0.125 17
1.125 3.125 12
5.375 5.625 46
6.375 4.375 53
7.375 1.125 58
2.125 1.625 18
0.625 2.375 3
7.875 6.375 63
6.875 6.625 55
5.625 4.125 45
0.625 2.625 3
3.875 4.125 29
6.125 6.625 55
4.375 4.625 37
0.375 4.625 5
1.125 5.125 14
7.375 5.125 62
1.875 4.375 13
0.875 2.125 3
6.625 5.125 54
1.125 6.625 15
4.875 4.375 37
5.375 3.875 44
0.875 1.375 2
4.625 2.375 35
7.375 5.375 62
3.875 6.375 31
1.125 2.625 11
5.375 7.625 48
0.875 0.625 1
1.375 6.875 15
5.625 3.375 44
3.625 3.375 28
3.625 5.875 30
6.375 3.625 52
1.375 7.375 16
4.625 5.375 38
2.125 5.125 22
3.875 2.625 27
7.125 7.875 64
5.625 3.875 44
7.625 0.375 57
0.375 1.875 2
2.125 0.875 17
0.375 2.875 3
7.875 3.625 60
0.125 5.875 6
2.625 0.375 17
3.125 4.625 29
5.625 1.875 42
7.875 6.125 63
4.125 0.125 33
0.875 3.125 4
7.625 1.625 58
3.875 1.875 26
1.125 4.875 13
4.875 2.875 35
5.375 1.125 42
0.375 4.375 5
3.625 7.875 32
0.375 2.625 3
2.875 6.875 23
4.125 3.375 36
4.625 3.125 36
5.375 4.875 45
4.875 4.625 37
5.625 0.375 41
3.375 2.625 27
4.875 3.875 36
3.875 0.125 25
5.875 3.375 44
6.875 2.125 51
0.125 4.125 5
2.125 3.875 20
5.375 7.125 48
7.125 0.625 57
7.125 7.375 64
7.875 0.125 57
3.625 1.625 26
4.625 7.875 40
2.125 1.375 18
2.625 6.875 23
2.375 4.375 21
3.875 0.625 25
6.875 7.625 56
7.375 4.875 61
7.375 7.125 64
5.125 5.875 46
6.625 1.875 50
0.125 6.625 7
1.625 4.375 13
2.375 5.875 22
1.125 1.625 10
5.125 4.375 45
2.125 5.875 22
4.125 6.375 39
1.375 3.875 12
4.375 7.125 40
7.625 3.875 60
1.375 7.125 16
1.125 1.375 10
5.125 6.875 47
5.375 4.375 45
5.625 1.625 42
3.375 1.375 26
5.875 7.625 48
4.375 3.125 36
7.625 0.625 57
4.125 2.625 35
7.375 2.875 59
3.625 1.125 26
6.625 3.375 52
5.875 7.375 48
6.125 3.875 52
5.125 5.625 46
1.125 0.625 9
5.375 0.375 41
3.625 0.625 25
6.375 2.125 51
6.125 0.375 49
5.125 7.625 48
6.875 5.125 54
5.125 3.625 44
3.625 6.625 31
2.125 1.125 18
6.875 0.625 49
6.875 5.375 54
3.875 5.875 30
3.375 6.375 31
1.125 3.625 12
0.625 6.125 7
0.125 7.875 8
6.625 5.375 54
2.125 2.125 19
0.625 1.125 2
5.375 1.375 42
6.625 1.125 50
4.625 1.875 34
2.625 7.625 24
5.625 0.125 41
6.125 5.875 54
4.375 0.875 33
0.625 3.875 4
6.875 1.125 50
0.125 4.875 5
4.125 2.125 35
5.375 7.375 48
1.625 0.875 9
6.125 5.625 54
5.625 5.375 46
4.875 2.375 35
2.875 1.875 18
3.875 0.375 25
2.625 5.125 22
6.125 2.625 51
5.625 0.625 41
0.375 3.875 4
6.125 2.125 51
7.625 4.375 61
3.125 0.375 25
2.875 0.125 17
4.375 5.875 38
4.875 1.375 34
0.625 6.625 7
3.125 2.375 27
2.375 0.625 17
3.875 5.625 30
1.375 3.125 12
6.125 5.375 54
4.125 0.875 33
1.625 1.875 10
0.875 7.875 8
0.125 2.375 3
1.625 4.625 13
2.375 2.125 19
4.625 3.875 36
6.125 6.375 55
5.875 6.125 47
5.625 4.625 45
1.625 2.875 11
3.125 0.625 25
0.875 2.625 3
6.625 2.875 51
1.625 7.875 16
0.375 5.125 6
2.625 5.875 22
7.125 2.125 59
7.875 6.875 63
1.625 1.125 10
7.125 4.875 61
6.875 4.625 53
0.375 0.375 1
4.125 1.375 34
0.625 0.375 1
1.375 7.625 16
5.875 5.125 46
1.125 6.125 15
3.625 4.875 29
0.875 7.625 8
2.875 2.625 19
5.375 2.625 43
5.875 6.625 47
1.375 1.375 10
4.625 1.375 34
3.875 2.375 27
2.125 3.625 20
5.375 6.125 47
3.875 1.125 26
2.875 3.875 20
2.875 0.375 17
3.375 5.125 30
0.375 0.625 1
2.875 3.125 20
0.375 4.125 5
0.125 1.625 2
3.125 7.875 32
3.375 5.625 30
7.375 4.375 61
1.375 4.625 13
7.625 3.375 60
7.625 1.875 58
4.125 2.875 35
6.375 1.375 50
7.875 4.375 61
3.875 3.125 28
5.875 4.375 45
0.625 5.375 6
4.625 6.125 39
4.875 0.625 33
0.875 1.125 2
5.875 1.875 42
1.375 2.125 11
2.375 4.875 21
7.125 3.375 60
3.125 6.875 31
4.375 5.125 38
0.875 4.875 5
7.125 7.125 64
5.625 7.125 48
6.125 7.125 56
5.125 6.375 47
4.125 7.375 40
7.625 3.125 60
2.625 0.625 17
2.625 7.375 24
2.375 3.375 20
4.875 1.625 34
2.375 7.875 24
1.375 2.875 11
3.375 6.125 31
1.875 5.125 14
2.625 3.625 20
7.125 4.125 61
7.875 1.125 58
6.125 7.875 56
1.875 5.625 14
6.875 4.375 53
4.875 0.375 33
7.375 7.375 64
1.125 6.375 15
4.375 6.375 39
2.625 1.875 18
7.125 4.375 61
7.125 4.625 61
1.875 1.375 10
6.375 1.125 50
7.375 7.875 64
4.125 5.375 38
7.875 5.125 62
3.375 2.875 27
6.875 0.125 49
1.125 0.375 9
5.625 7.875 48
0.625 2.125 3
6.875 2.375 51
6.625 7.625 56
0.375 3.375 4
7.875 2.625 59
5.125 4.875 45
0.375 5.875 6
2.875 5.875 22
3.375 3.125 28
0.625 7.125 8
6.875 6.125 55
3.375 6.875 31
4.875 7.625 40
1.875 1.625 10
5.875 3.625 44
5.875 7.125 48
6.625 6.625 55
3.125 1.875 26
1.625 0.375 9
1.625 6.125 15
1.375 6.375 15
7.375 2.375 59
7.625 5.875 62
1.125 4.125 13
5.125 3.125 44
7.125 3.125 60
5.375 7.875 48
2.375 1.375 18
5.875 2.375 43
5.125 0.125 41
2.375 7.375 24
7.125 1.125 58
4.375 2.375 35
4.375 4.125 37
3.375 7.875 32
6.125 0.875 49
7.125 5.375 62
3.875 1.375 26
1.375 7.875 16
4.625 0.125 33
4.375 2.875 35
7.125 3.875 60
2.375 5.125 22
5.375 2.875 43
1.125 0.875 9
6.375 5.375 54
0.625 2.875 3
7.125 2.625 59
4.375 3.375 36
2.625 2.875 19
1.875 1.125 10
2.625 5.375 22
7.625 6.625 63
2.125 7.625 24
7.375 1.875 58
3.125 7.375 32
7.375 2.125 59
7.625 7.125 64
7.625 4.875 61
7.125 5.875 62
6.625 6.375 55
5.625 7.375 48
3.375 3.625 28
4.375 7.875 40
5.375 6.375 47
1.625 5.625 14
4.375 5.625 38
1.875 2.625 11
6.125 1.375 50
4.375 4.875 37
7.875 2.125 59
7.125 7.625 64
5.875 0.875 41
2.125 0.625 17
5.875 2.875 43
3.125 3.875 28
3.125 4.375 29
1.375 2.625 11
3.875 4.625 29
3.125 1.625 26
0.125 0.625 1
2.875 1.625 18
5.375 5.375 46
1.625 5.375 14
2.375 0.375 17
5.375 3.125 44
2.125 4.375 21
4.875 2.625 35
2.875 2.375 19
1.375 3.375 12
5.875 3.125 44
3.875 2.875 27
0.125 0.125 1
5.625 6.625 47
3.125 2.625 27
1.875 1.875 10
3.625 3.625 28
7.375 6.125 63
5.125 7.125 48
0.625 6.875 7
6.125 7.375 56
0.125 2.875 3
2.875 1.125 18
7.375 7.625 64
2.375 6.125 23
4.625 0.875 33
1.125 6.875 15
3.125 1.125 26
6.625 2.625 51
0.875 4.625 5
7.875 7.625 64
4.625 7.625 40
3.625 0.875 25
0.875 6.875 7
7.375 0.625 57
6.625 1.375 50
4.375 1.375 34
2.375 7.625 24
7.625 2.375 59
6.875 0.375 49
7.375 1.375 58
5.875 2.625 43
1.125 3.875 12
0.375 6.875 7
2.125 4.875 21
1.375 1.625 10
3.125 2.125 27
4.125 5.625 38
6.625 4.125 53
3.375 0.625 25
2.875 4.125 21
2.625 7.875 24
0.625 4.625 5
3.875 4.875 29
3.625 4.625 29
6.125 3.625 52
1.875 0.875 9
3.875 6.125 31
2.375 3.875 20
1.875 4.625 13
6.625 0.375 49
7.375 3.875 60
2.875 2.875 19
7.625 5.375 62
0.375 1.625 2
2.375 2.875 19
1.875 7.875 16
6.375 4.125 53
