FollowerCount	FollowingCount
1209835	3
185616	1001
3638	3341
19562	17637
266407	1592
314	398
25360	20872
102116	293
1445520	260
102116	293
1345	928
1611042	936
9542820	2069
1682535	1015
565	613
58090	6
1043	81
1140	927
4189	2094
39262	848
828774	904
21	193
6231	555
95	120
4189	2094
32342	2622
392738	9364
25360	20872
364	927
4557	82
2256591	735
1209835	3
203788	1069
1682535	1015
228	302
103607	53468
6623	262
1404323	563
25360	20872
26821	24787
95	120
16978	6715
263614	759
889300	183
1445520	260
209	454
756715	12949
1834007	773
4189	2094
787	436
228	302
9093	672
297	228
203788	1069
750	997
322682	37601
2014	1943
221001	906
4363	221
30426	1376
480412	11948
7157	73
17842623	46964
10693	935
279	40
203788	1069
224146	272
119001	119704
3892	4333
272	733
10270	5625
15256	1098
119001	119704
948551	75
228	302
9512	12
1433	249
598	600
1611042	936
138235	780
739581	10723
5694566	389
11250	2
96531	87
119001	119704
5751	909
272	733
405315	128127
889300	183
7271	335
992	397
676	243
154830	10613
25195	1443
454514	1479
1481379	147521
131920	364
49326	42259
28613	3557
1203	689
268	141
314	398
5151	2195
26821	24787
206818	15196
11427	1951
1611042	936
1706188	402
4363	221
1043	81
5685	942
232753	320
1525260	747
254	534
125438	983
1043	974
103607	53468
15002	1945
102116	293
1259676	337
3893	1059
2696	1718
11427	1951
96531	87
125512	13701
871652	140
9450	1511
7554	1711
203788	1069
92462	692
2014	1943
1205166	3329
9093	672
7554	1711
1354	375
1221	313
11018	160
72	373
39262	848
53678	1751
3302480	550744
24437	279
219	148
823481	2667
1607541	93
1209835	3
3832	859
85138	67047
5922518	483
6088	223
331	273
9450	1511
3924	1640
131920	364
723800	328
25195	1443
78083	679
41765	185
454514	1479
14843	12352
254	534
3200	3256
279	40
3081505	119234
67736	30523
2014	1943
5342840	33401
130850	3394
130878	5409
96531	87
32342	2622
756715	12949
794	479
185616	1001
504004	3109
1043	81
153071	146
823481	2667
1607541	93
470926	322
182598	1402
1328	1383
627	1993
638283	150
373	264
1611042	936
776	624
488750	320
254	341
671	215
864557	7352
828774	904
6119	382
1010	1014
864557	7352
366460	466
85138	67047
1611042	936
1912232	33395
185616	1001
126738	779
127	106
1209835	3
5151	2195
9512	12
6231	555
3722	285
2745543	7828
8168488	76
756715	12949
219	148
1481379	147521
756715	12949
154830	10613
20542	635
117913	1299
15002	1945
2403	1
4747	1
366460	466
54453	7688
7185698	30
392738	9364
3832	859
9679	322
566	49
2403	1
2355	1551
272	733
864557	7352
196692	2339
2745543	7828
1352348	331
2280149	373178
20	7
298668	551
4947410	112
16978	6715
513424	6
508213	554
628	921
100151	31383
4491415	756
756715	12949
5685	942
631958	674
592	193
480412	11948
3893	1059
3832	859
598	600
570772	5390
3638	3341
5751	909
47006	7814
32342	2622
3722	285
723800	328
1607541	93
462071	331717
565	613
3106	3232
628	921
366460	466
11427	1951
44034	2974
9512	12
470926	322
723800	328
1611042	936
364	927
25360	20872
871652	140
1404323	563
1345	928
570772	5390
444	155
1354	375
356712	2070
2651	2838
5501	5908
5685	942
9450	1511
454514	1479
254	534
1203	689
60	146
598	600
3867	2059
128305	213
565	613
16978	6715
1634478	12567
725	645
224146	272
34463	29808
750	997
245591	266
5941	1615
268170	2087
44	79
163145	906
1433	249
708	631
268170	2087
282305	2114
20	7
132100	56571
794	892
1706188	402
6231	555
223	168
219	148
44	79
9512	12
901	789
1611042	936
272	733
57840	27137
10693	935
254	534
9450	1511
16978	6715
319991	321
4321482	259
6231	555
3200	3256
4721	1369
78731	6212
185616	1001
4491415	756
127	106
1834007	773
1043	974
26624	5411
314	398
282305	2114
3171023	5171
119001	119704
132100	56571
285735	276251
480412	11948
804394	1370
9542820	2069
3867	2059
6119	382
1525260	747
6231	555
1354	375
96531	87
3832	859
570772	5390
268170	2087
130850	3394
25360	20872
221001	906
1203	689
565	613
163145	906
47006	7814
57840	27137
1607541	93
1282	931
11427	1951
335	469
6225470	381
10693	935
864557	7352
1607541	93
1294	431
206818	15196
1445520	260
131920	364
1682535	1015
756	925
79727	555
570772	5390
10167	900
196692	2339
254	534
268170	2087
1682535	1015
2403	1
98788	2354
10167	900
5751	909
1354	375
5751	909
823481	2667
254	341
364	927
25360	20872
3867	2059
3867	2059
12726	751
9542820	2069
34463	29808
1611042	936
3764	703
864557	7352
5342840	33401
3741	1635
676	243
263614	759
1674046	24246
35420121	136440
929	452
48777	858
34942	633
185	131
224146	272
196692	2339
57840	27137
245591	266
209	454
30426	1376
1097135	830
1043	81
697	14
41367	71
405315	128127
112	243
1706188	402
21591	1179
314	398
392738	9364
221001	906
54453	7688
143101	128686
143101	128686
2280149	373178
1271	1503
58090	6
823481	2667
44027	113
233	392
21591	1179
1271386	7081
1607541	93
96531	87
7271	335
219	148
671	215
366460	466
19562	17637
19562	17637
60	146
16346	200
1611042	936
20	7
23230	495
254	534
570772	5390
1097135	830
508586	215
828774	904
3867	2059
6231	555
1611042	936
11427	1951
57840	27137
470926	322
75584	335
2280149	373178
282305	2114
48711	22845
1834007	773
366460	466
5685	942
756715	12949
7147	737
3741	1635
2260661	233
655	562
794	479
3764	703
9542820	2069
314	398
454514	1479
254	341
405315	128127
26821	24787
47006	7814
233514	211
7554	1711
314	398
1097135	830
23230	495
570772	5390
1481379	147521
265258	209
1116	35
108768	57
10167	900
366460	466
6231	555
119001	119704
117913	1299
10167	900
1354	375
206818	15196
263614	759
3832	859
2273871	4524
2328	344
1203	689
24437	279
6225470	381
1409776	467
739581	10723
41367	71
8046	1812
860	393
356712	2070
480412	11948
8864	998
100151	31383
7360339	95
138235	780
5151	2195
4760	425
444	155
1097135	830
24437	279
508213	554
356712	2070
11427	1951
541611	2140
44	79
254	341
206818	15196
182598	1402
1294	431
3832	859
676	243
219	148
444	155
182598	1402
356712	2070
49326	42259
20	7
53678	1751
2273871	4524
48711	22845
1043	81
508213	554
44027	113
11018	160
323	542
41765	185
3525	3115
42316	1222
3892	4333
598	600
203788	1069
570772	5390
513424	6
254	534
2964	1074
3042715	3811
206818	15196
78731	6212
132100	56571
224146	272
20542	635
828774	904
153071	146
1912232	33395
655	35
1445520	260
1221	313
3367	465
100151	31383
1221	313
34463	29808
1205166	3329
3722	285
1352348	331
10693	935
138235	780
146298	49266
85138	67047
1706188	402
9512	12
221001	906
125512	13701
5751	909
78731	6212
85138	67047
282305	2114
53678	1751
1362	1054
462071	331717
130878	5409
22333	8875
10167	900
1611042	936
24437	279
1205166	3329
1271	1503
119001	119704
127	36
1043	81
4363	221
1043	974
30426	1376
203788	1069
78083	679
25360	20872
8120	710
2745543	7828
723800	328
5941	1615
173872	2804
3171023	5171
100151	31383
44027	113
20542	635
265258	209
126738	779
828774	904
120772	468
2280149	373178
541611	2140
41765	185
1772	294
1271386	7081
1433	249
103607	53468
1352348	331
158467	154157
690	394
265258	209
128	114
7554	1711
823481	2667
470926	322
9679	322
1271386	7081
823481	2667
1209835	3
454514	1479
23230	495
279	40
1294	431
10270	5625
871652	140
614689	400
3832	859
3764	703
220242	357
1209835	3
1314	249
206818	15196
1247	891
10693	935
154830	10613
117913	1299
541611	2140
3741	1635
138235	780
6119	382
570772	5390
3893	1059
127	36
48777	858
268170	2087
132100	56571
1706188	402
3638	3341
7271	335
19562	17637
9093	672
96531	87
26821	24787
489	473
186557	90762
60	146
224146	272
508213	554
9542820	2069
21591	1179
268170	2087
1404323	563
92462	692
3892	4333
627	1993
628	921
67736	30523
1433	249
3638	3341
1203	689
125512	13701
209	454
196692	2339
20542	635
263614	759
804394	1370
314	398
11427	1951
1043	974
1268	933
4321482	259
4557	82
5685	942
30426	1376
627	1993
120772	468
508213	554
228	302
2261838	1335
30426	1376
6225470	381
2632007	5
100836	144
285735	276251
1435564	172
96531	87
1720	540
3893	1059
7185698	30
34463	29808
3302480	550744
221001	906
103607	53468
404679	3866
220242	357
454514	1479
41367	71
30729	442
272	733
19562	17637
488553	38857
7271	335
3106	3232
1481379	147521
3166413	276
513424	6
480412	11948
444	155
1445520	260
856	558
131920	364
223	168
314	398
2651	2838
3832	859
44	79
266407	1592
54453	7688
725	645
1682535	1015
3764	703
44	79
15385	673
631958	674
85138	67047
242529	7561
1641075	695
708	631
53678	1751
2273871	4524
221001	906
5141	577
57840	27137
9093	672
30426	1376
20288	1568
614689	400
263614	759
3166413	276
7271	335
7360339	95
263614	759
38	0
7147	737
10693	935
223	168
7360339	95
570772	5390
5751	909
41765	185
828774	904
9679	322
375	790
272	733
146298	49266
1834007	773
460	216
2745543	7828
21	193
2256591	735
78310	172
631958	674
19209	824
1433	249
126738	779
71597	44262
47006	7814
488750	320
2280149	373178
1834007	773
404679	3866
864557	7352
277	581
1404323	563
6232	551
3302480	550744
71584	3617
67821	314
131920	364
3496	905
298668	551
7147	737
2280149	373178
242529	7561
28613	3557
146298	49266
1352348	331
504004	3109
7147	737
272	733
5685	942
638283	150
565	613
366460	466
5694566	389
5685	942
6327	2641
470926	322
19562	17637
2260661	233
128305	213
25360	20872
177796	0
272	733
392738	9364
1525260	747
128305	213
1203	689
100151	31383
138235	780
11147	1500
4321482	259
804394	1370
314	398
182598	1402
3867	2059
3892	4333
263614	759
21591	1179
163145	906
2280149	373178
1674046	24246
739581	10723
889300	183
3166413	276
20	7
154830	10613
23230	495
628	921
125438	983
631958	674
21591	1179
4760	425
146298	49266
196692	2339
631958	674
102116	293
756715	12949
823481	2667
3166413	276
186557	90762
21	193
3638	3341
265258	209
878772	580
1634478	12567
501043	3289
39262	848
404679	3866
3341	471
10167	900
5501	5908
65264	956
828774	904
725	645
392738	9364
1634478	12567
489	473
38640	83
1097135	830
1205166	3329
41765	185
6232	551
268170	2087
3638	3341
2280149	373178
3892	4333
323	542
3525	3115
173872	2804
143101	128686
23966	207
291	328
2574	727
2651	2838
7360339	95
2691	1006
404679	3866
98788	2354
9093	672
5501	5908
392738	9364
279	40
454514	1479
154830	10613
131920	364
924	1008
1043	81
366460	466
756715	12949
131920	364
2280149	373178
489	473
6119	382
138235	780
794	479
6231	555
405315	128127
1682535	1015
1043	974
1097135	830
132100	56571
11018	160
120772	468
182598	1402
405315	128127
58090	6
1140	927
1433	249
285735	276251
3081505	119234
267	352
282305	2114
8168488	76
1221	313
1607541	93
364	927
282305	2114
3166413	276
2420	766
501043	3289
132100	56571
220242	357
24062	1594
392738	9364
9093	672
655	562
7147	737
8952	3931
54453	7688
100151	31383
3722	285
98788	2354
6085071	67
186557	90762
5751	909
112	243
5922518	483
1209835	3
267	352
481	326
228	302
203788	1069
95	120
322682	37601
223	168
3892	4333
5151	2195
186557	90762
125438	983
53678	1751
221001	906
9679	322
54453	7688
311	1170
392738	9364
504004	3109
1354	375
1912232	33395
3722	285
756715	12949
1352348	331
697	14
614689	400
30426	1376
23230	495
36543194	123336
16978	6715
3832	859
11147	1500
11018	160
2280149	373178
1682535	1015
3081505	119234
1880	469
2260661	233
1611042	936
1912232	33395
163145	906
828774	904
565	613
112	243
804394	1370
627949	150866
25195	1443
1641075	695
268170	2087
1404323	563
6059	964
3892	4333
1043	81
125438	983
1611042	936
489	473
220242	357
185616	1001
3081505	119234
96531	87
84068	38
5151	2195
889300	183
565	613
6225470	381
3764	703
130850	3394
125512	13701
11147	1500
3042715	3811
1834007	773
28613	3557
219	148
263614	759
100151	31383
130850	3394
23230	495
15385	673
196692	2339
322682	37601
254	534
10270	5625
10693	935
44034	2974
463	332
16978	6715
102116	293
1834007	773
2651	2838
794	892
71597	44262
570772	5390
58090	6
143101	128686
30426	1376
480412	11948
203788	1069
690097	67745
25360	20872
44	79
92462	692
697	14
34463	29808
1611042	936
19562	17637
7938	620
570772	5390
1203	689
298668	551
130850	3394
73586	48792
10167	900
1352348	331
671	215
60	146
21	193
592	193
1205166	3329
38226	114
356712	2070
154830	10613
10422587	147
221001	906
254	534
592	193
1203	689
10270	5625
823481	2667
504004	3109
41765	185
223	168
219	148
6231	555
154830	10613
99193	69
739581	10723
725	645
322682	37601
23230	495
130850	3394
26821	24787
15002	1945
71597	44262
266407	1592
11534	10127
454514	1479
756715	12949
39262	848
1040229	725
1352348	331
1611	456
5835	463
108768	57
131920	364
221001	906
16978	6715
364	927
49326	42259
2260661	233
488750	320
508213	554
7360339	95
38	0
163145	906
32342	2622
638283	150
8168488	76
580544	2799
9512	12
2208080	240
17842623	46964
8048101	1
95	120
4189	2094
11018	160
1352348	331
364	927
380	770
6839015	968
5151	2195
4491415	756
1611042	936
232753	320
401	379
570772	5390
133183	10016
380	507
2280149	373178
206818	15196
541611	2140
756715	12949
3525	3115
49326	42259
870723	107
404679	3866
100836	144
513424	6
146298	49266
5629637	51683
454514	1479
614689	400
488750	320
614689	400
232753	320
120772	468
314	398
3893	1059
335	469
1043	974
1720	540
318443	294
220242	357
4321482	259
1682535	1015
794	479
1043	81
7147	737
592	193
263614	759
4363	221
8048101	1
939	1678
5922518	483
489	473
488750	320
100836	144
3914	1439
2098	1538
33669	29327
128305	213
3832	859
655	562
78083	679
804394	1370
44	79
864557	7352
3525	3115
58090	6
112	243
1345	928
299	787
3525	3115
10693	935
11147	1500
21591	1179
223	168
488553	38857
1010	1014
138235	780
5941	1615
4363	221
1043	81
488553	38857
96531	87
794	892
160428	1155
18814	14121
1404323	563
41765	185
398	103
131	253
163145	906
67736	30523
245591	266
15385	673
6232	551
254	534
322682	37601
177796	0
65264	956
177796	0
750	997
867	413
102116	293
44	79
5151	2195
85138	67047
108768	57
65264	956
245591	266
3524	1881
3764	703
28613	3557
96531	87
392738	9364
1271	1503
1912232	33395
889300	183
6231	555
2280149	373178
480412	11948
1912232	33395
125512	13701
570772	5390
5751	909
25360	20872
3892	4333
7157	73
628	921
541611	2140
254	341
3741	1635
3914	1439
23230	495
219	148
335	469
125512	13701
58090	6
158467	154157
804	301
1601	1814
364	927
3200	3256
132100	56571
285735	276251
3832	859
1607541	93
3741	1635
592	193
219	148
34463	29808
173872	2804
266407	1592
1404323	563
3302480	550744
405315	128127
501043	3289
404679	3866
1611042	936
1682535	1015
912	1061
47771	262
3741	1635
2260661	233
671	215
1321031	318
1221	313
125512	13701
223	168
182598	1402
3867	2059
209	454
58090	6
3221	566
30426	1376
219	148
30426	1376
126738	779
30426	1376
3302480	550744
10167	900
7157	73
120772	468
3106	3232
21591	1179
1641075	695
622	358
323	542
2403	1
2273871	4524
3081505	119234
336	603
30426	1376
592	193
154830	10613
2470	357
570772	5390
6375552	813
127	36
10270	5625
3722	285
3832	859
78083	679
3081505	119234
3638	3341
5151	2195
54453	7688
7147	737
725	645
1912232	33395
1352348	331
25360	20872
131920	364
44034	2974
9512	12
2470	357
11427	1951
871652	140
102116	293
489	473
1674046	24246
1043	81
220242	357
20542	635
480412	11948
1040229	725
364	927
454514	1479
7659	769
655	562
677	133
238	214
4491415	756
488553	38857
9450	1511
103607	53468
32342	2622
94555	574
323	542
1834007	773
1209835	3
2014	1943
38	0
739581	10723
57840	27137
181963	208
20	7
254	534
501043	3289
2651	2838
298668	551
25360	20872
7360339	95
25195	1443
454514	1479
405315	128127
21591	1179
614689	400
127	36
2280149	373178
725	645
2403	1
125438	983
980	938
871652	140
598	600
11147	1500
2260661	233
404679	3866
1674046	24246
32601	6049
203788	1069
622	229
1352348	331
48777	858
223	168
1607541	93
1682535	1015
3722	285
38	0
35420121	136440
132100	56571
232753	320
697	14
5425	233
128305	213
2260661	233
32342	2622
132100	56571
245591	266
45589	862
138235	780
5751	909
4189	2094
3867	2059
837	195
1634478	12567
25360	20872
1043	974
5342840	33401
5685	942
9542820	2069
119001	119704
78731	6212
1542	832
322682	37601
314	398
224146	272
30426	1376
10270	5625
1404323	563
1067	1834
3168	313
1912232	33395
10167	900
3741	1635
7167	1264
279	40
335	469
3892	4333
570772	5390
638283	150
30426	1376
4760	425
2280149	373178
128305	213
565	613
687	161
30426	1376
7147	737
690097	67745
366460	466
4491415	756
1445520	260
125438	983
242	400
130878	5409
78083	679
85138	67047
5751	909
103607	53468
454514	1479
1203	689
3722	285
1209835	3
9093	672
33107	204
470926	322
2403	1
3166413	276
723800	328
67736	30523
2696	1718
697	14
1140	927
3893	1059
44	79
1481379	147521
224146	272
279	40
58090	6
5342840	33401
1203	689
1404323	563
6232	551
1433	249
9679	322
3433	108
794	892
21591	1179
102116	293
290	355
756715	12949
1682535	1015
25360	20872
23230	495
662	997
2690	969
5996	906
628	921
23230	495
65264	956
697	14
2208080	240
6232	551
78731	6212
48777	858
9093	672
2280149	373178
5922518	483
285735	276251
158467	154157
2256591	735
9512	12
49326	42259
48777	858
25195	1443
44027	113
2696	1718
254	534
6071	4517
143101	128686
362	227
896	657
1271	1503
5685	942
266407	1592
20542	635
3867	2059
462071	331717
655	562
6231	555
25195	1443
23230	495
750	997
2280149	373178
242529	7561
5685	942
1271	1503
44034	2974
1511101	72
279	40
98788	2354
298668	551
504004	3109
4947410	112
242529	7561
25360	20872
282305	2114
138235	780
11147	1500
598	600
1481379	147521
219	148
5708469	33
163145	906
3742349	58111
138235	780
236123	858
6231	555
53678	1751
1682535	1015
266407	1592
2260661	233
2280149	373178
3200	3256
224146	272
2696	1718
7625	6067
272	733
489	473
4363	221
2745543	7828
7147	737
285735	276251
513424	6
7185698	30
501043	3289
3914	1439
7554	1711
33669	29327
5751	909
2260661	233
1016030	117
804394	1370
44034	2974
25195	1443
41367	71
366460	466
454514	1479
17842623	46964
891	594
1445520	260
871652	140
404679	3866
794	892
1611042	936
570772	5390
405315	128127
5151	2195
103607	53468
21591	1179
117913	1299
16978	6715
186557	90762
12760	355
1445520	260
44	79
692	537
598	600
2632007	5
4491415	756
4557	82
7147	737
16978	6715
100836	144
9542820	2069
125438	983
8817	1155
750	997
54453	7688
580544	2799
7185698	30
20	7
627949	150866
242529	7561
279	40
120772	468
53620	44768
10167	900
126738	779
527	607
30426	1376
221001	906
725	645
3329	804
3832	859
5501	5908
2307845	329
3081505	119234
196692	2339
592	193
3832	859
15385	673
1097135	830
454514	1479
146298	49266
488553	38857
44	79
504004	3109
2774790	20342
128305	213
10693	935
3914	1439
209	454
1611042	936
3764	703
254	534
2280149	373178
1043	81
541611	2140
285735	276251
219	148
480412	11948
725	645
34463	29808
6119	382
119001	119704
39262	848
21591	1179
128305	213
314	398
1682535	1015
638283	150
1203	689
3832	859
245591	266
3302480	550744
2470	357
8168488	76
322682	37601
125	86
14843	12352
265258	209
102116	293
1344	1155
1611042	936
392738	9364
323	542
805	589
224146	272
182598	1402
1912232	33395
7554	1711
1607541	93
90	209
282305	2114
4321482	259
1209835	3
1043	81
173872	2804
1424824	338
138235	780
44027	113
828774	904
11018	160
254	534
908	204
10167	900
725	645
7185698	30
221001	906
3524	1881
1352348	331
5751	909
1203	689
756715	12949
3892	4333
9335935	1
6225470	381
8711	1821
130850	3394
182598	1402
2349	1018
245591	266
4760	425
158467	154157
1010	1014
17842623	46964
1481379	147521
30426	1376
1481379	147521
19562	17637
158467	154157
6119	382
185616	1001
54453	7688
462071	331717
11018	160
1352348	331
267	352
2014	1943
627949	150866
125512	13701
2696	1718
4363	221
570772	5390
1720	540
2280149	373178
263614	759
279	40
314	398
228	302
805	589
209	454
4321482	259
3741	1635
9679	322
2403	1
2696	1718
30426	1376
6231	555
1294	431
11427	1951
3171023	5171
28613	3557
5708469	33
41765	185
58963	107
1040229	725
98788	2354
158467	154157
26821	24787
627949	150866
41765	185
285735	276251
232753	320
132100	56571
405315	128127
1601	1814
3892	4333
5495	112
30426	1376
871652	140
3302480	550744
112	243
131920	364
138235	780
112	243
3892	4333
125512	13701
2651	2838
1915	1981
1271	1503
9542820	2069
424	290
281625	1118
444	155
50285	12186
739581	10723
103607	53468
513424	6
8168488	76
242529	7561
6085071	67
221001	906
489	473
34463	29808
501043	3289
127	36
173872	2804
3892	4333
9355	2
3722	285
185616	1001
185616	1001
828774	904
725	645
131920	364
1912232	33395
163145	906
598	600
1097135	830
130850	3394
3893	1059
1043	81
3055	288
47006	7814
324	101
2280149	373178
10167	900
324	424
1706188	402
1205166	3329
196692	2339
48777	858
163145	906
21	193
221001	906
220	385
2280149	373178
489	473
10693	935
20288	1568
41765	185
1140	927
570772	5390
4327	332
96531	87
3892	4333
146298	49266
126738	779
1369	915
3741	1635
1674046	24246
864557	7352
127	36
85138	67047
228	302
126738	779
282305	2114
3892	4333
206818	15196
130850	3394
130878	5409
41765	185
60	146
100836	144
15385	673
335	469
1445520	260
41765	185
1352348	331
1352348	331
177796	0
2403	1
614689	400
6225470	381
163145	906
265258	209
268170	2087
488553	38857
2696	1718
501043	3289
11456	603
804394	1370
196692	2339
3741	1635
44	79
219	148
6232	551
9542820	2069
1634478	12567
236123	858
173872	2804
515	487
1611042	936
78083	679
580544	2799
1615	403
1611042	936
7271	335
15002	1945
3832	859
3106	3232
228	302
28613	3557
16978	6715
4184	887
15323	16593
1271	1503
480412	11948
281625	1118
10167	900
1040229	725
103607	53468
65264	956
2774790	20342
