name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
camel,1.6,org.apache.camel.component.jms.JmsTemporaryQueueEndpoint,6,4,0,5,10,15,1,5,5,1,43,1,0,0.950819672,0.444444444,0,0,6,1,0.5,0
camel,1.6,org.apache.camel.model.language.PhpExpression,3,2,0,1,5,3,0,1,3,2,12,0,0,0.956521739,0.666666667,1,2,3,1,0.3333,0
camel,1.6,org.apache.camel.spi.LanguageResolver,1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,0
camel,1.6,org.apache.camel.util.IntrospectionSupport,20,1,0,20,98,178,15,5,12,0.631578947,880,1,0,0,0.276315789,0,0,42.95,15,2.85,0
camel,1.6,org.apache.camel.component.mina.MinaHelper,2,1,0,6,7,1,2,4,1,2,21,0,0,0,0.5,0,0,9.5,1,0.5,0
camel,1.6,org.apache.camel.FailedToCreateProducerException,2,5,0,4,7,0,2,2,2,0,25,1,1,0.944444444,0.666666667,0,0,11,1,0.5,1
camel,1.6,org.apache.camel.TypeConverter,2,1,0,38,2,1,37,1,2,2,2,0,0,0,0.875,0,0,0,1,1,0
camel,1.6,org.apache.camel.impl.converter.StaticMethodTypeConverter,4,1,0,4,11,0,1,3,4,0.166666667,67,1,0,0,0.5,0,0,15.25,2,1,0
camel,1.6,org.apache.camel.component.dataset.DataSet,4,1,0,6,4,6,5,2,4,1.333333333,5,0,0,0,0.5625,0,0,0,1,1,0
camel,1.6,org.apache.camel.util.ReflectionInjector,2,1,0,4,4,1,2,2,2,2,8,0,0,0,0.75,0,0,3,1,0.5,0
camel,1.6,org.apache.camel.component.atom.AtomPollingConsumer,2,5,1,9,9,1,2,8,1,2,26,0,0,0.972222222,0.666666667,1,1,12,1,0.5,0
camel,1.6,org.apache.camel.bam.processor.JpaBamProcessorSupport,21,2,1,15,52,142,1,14,12,0.828571429,292,1,1,0.333333333,0.2,1,2,12.57142857,3,1,0
camel,1.6,org.apache.camel.component.dataset.DataSetComponent,2,3,0,7,6,1,0,7,1,2,19,0,0,0.972222222,0.666666667,1,1,8.5,1,0.5,0
camel,1.6,org.apache.camel.builder.xml.DomResultHandlerFactory,2,1,0,4,4,1,1,3,2,2,9,0,0,0,1,0,0,3.5,1,0.5,0
camel,1.6,org.apache.camel.component.bean.MethodInfoCache,8,1,0,7,15,22,3,4,4,0.619047619,100,1,1,0,0.354166667,0,0,11.125,2,0.875,0
camel,1.6,org.apache.camel.component.quartz.QuartzMessage,3,3,0,10,25,0,1,10,2,0,136,1,0,0.945945946,0.5,1,1,44,2,1,0
camel,1.6,org.apache.camel.component.mina.MinaExchange,4,2,0,7,6,0,2,5,4,0,30,1,0,0.95,0.45,1,1,6.25,1,0.5,0
camel,1.6,org.apache.camel.component.jpa.DefaultTransactionStrategy,6,2,0,4,15,7,0,4,4,0.3,71,1,0,0.777777778,0.375,1,1,10.5,2,1,0
camel,1.6,org.apache.camel.language.simple.AbstractSimpleLanguage,7,1,2,7,23,21,2,5,3,2,133,0,0,0,0.666666667,0,0,18,5,1.8571,0
camel,1.6,org.apache.camel.language.Simple,1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
camel,1.6,org.apache.camel.impl.DefaultComponentResolver,3,1,0,10,22,1,1,9,2,0.5,141,1,1,0,0.666666667,0,0,45.33333333,6,2,0
camel,1.6,org.apache.camel.model.dataformat.ZipDataFormat,5,3,0,5,7,0,1,4,4,0,34,1,0,0.75,0.533333333,1,1,5.6,1,0.6,1
camel,1.6,org.apache.camel.util.FactoryFinder,16,1,1,11,43,112,7,4,14,0.6,275,1,0,0,0.4875,0,0,16.0625,1,0.875,1
camel,1.6,org.apache.camel.management.JmxSystemPropertyKeys,1,1,0,0,2,0,0,0,0,2,12,0,0,0,1,0,0,3,0,0,0
camel,1.6,org.apache.camel.processor.aggregate.AggregationStrategy,1,1,0,16,1,0,15,1,1,2,1,0,0,0,1,0,0,0,1,1,0
camel,1.6,org.apache.camel.model.ResequencerType,26,3,0,14,61,235,4,11,23,0.712,303,1,2,0.88,0.188034188,1,3,10.46153846,4,1.1923,0
camel,1.6,org.apache.camel.model.language.JavaScriptExpression,3,2,0,1,5,3,0,1,3,2,12,0,0,0.956521739,0.666666667,1,2,3,1,0.3333,0
camel,1.6,org.apache.camel.component.xmpp.XmppPrivateChatProducer,6,3,0,16,31,7,2,16,3,0.733333333,108,1,1,0.84,0.4,1,1,16.5,3,1,0
camel,1.6,org.apache.camel.model.MarshalType,10,4,0,7,17,13,1,6,10,0.555555556,82,1,1,0.962365591,0.375,1,1,7,2,0.8,0
camel,1.6,org.apache.camel.spring.package-info,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
camel,1.6,org.apache.camel.component.ResourceBasedEndpoint,9,5,3,12,25,0,3,9,8,0.6875,202,1,0,0.833333333,0.296296296,0,0,20.77777778,4,1.1111,0
camel,1.6,org.apache.camel.impl.DefaultPollingEndpoint,5,3,4,11,11,10,4,7,1,2,33,0,0,0.965517241,0.44,0,0,5.6,1,0.2,1
camel,1.6,org.apache.camel.converter.jaxb.JaxbDataFormat,18,1,0,3,27,97,0,3,17,0.774509804,165,1,0,0,0.172222222,0,0,7.833333333,1,0.8333,0
camel,1.6,org.apache.camel.component.jcr.JcrProducer,6,3,0,7,34,15,1,7,2,2,138,0,0,0.807692308,0.416666667,0,0,22,2,1,0
camel,1.6,org.apache.camel.converter.jaxb.StringHeader,6,2,0,2,9,9,1,1,6,0.2,41,1,0,0.5,0.5,0,0,5.666666667,2,0.8333,0
camel,1.6,org.apache.camel.component.cxf.interceptors.PayloadContentRedirectInterceptor,2,0,0,5,10,1,1,4,2,2,58,0,0,0,0.75,0,0,28,1,0.5,0
camel,1.6,org.apache.camel.bam.TimeExpression,10,1,2,9,18,9,4,7,10,0.666666667,86,1,3,0,0.285714286,0,0,7.3,3,1.2,0
camel,1.6,org.apache.camel.component.log.LogComponent,3,3,0,12,17,3,0,12,1,2,67,0,0,0.945945946,0.666666667,1,3,21.33333333,1,0.6667,0
camel,1.6,org.apache.camel.spring.spi.SpringInjector,6,1,0,4,10,0,1,3,6,0.6,46,1,0,0,0.333333333,0,0,6.166666667,1,0.8333,0
camel,1.6,org.apache.camel.model.dataformat.XMLBeansDataFormat,3,3,0,2,4,1,1,1,3,0.5,15,1,0,0.818181818,0.666666667,0,0,3.666666667,1,0.6667,0
camel,1.6,org.apache.camel.processor.aggregate.AggregationCollection,9,1,0,7,9,36,4,3,9,2,9,0,0,0,0.311111111,0,0,0,1,1,0
camel,1.6,org.apache.camel.component.jms.JmsConfiguration,120,1,0,38,200,6646,14,28,113,0.973345588,1370,0.9375,2,0,0.081822203,0,0,9.883333333,33,1.5417,0
camel,1.6,org.apache.camel.component.file.FileMessage,11,3,0,4,15,35,1,4,10,0.2,62,1,0,0.795454545,0.590909091,2,5,4.545454545,1,0.8182,0
camel,1.6,org.apache.camel.component.timer.TimerEndpoint,20,2,0,8,30,144,2,8,20,0.879699248,148,1,0,0.585365854,0.20625,0,0,6.05,2,0.95,0
camel,1.6,org.apache.camel.scala.dsl.SThrottlerType,15,2,0,8,17,99,3,7,15,0.761904762,89,1,3,0.70212766,0.253333333,1,20,4.733333333,1,0.9333,0
camel,1.6,org.apache.camel.component.jpa.JpaComponent,5,3,0,6,9,8,1,6,4,0.75,36,1,0,0.897435897,0.4,1,1,6,1,0.8,0
camel,1.6,org.apache.camel.scala.dsl.ScalaExpression,4,1,0,6,7,4,1,5,4,0.333333333,22,1,0,0,0.5,0,0,4.25,1,0.75,0
camel,1.6,org.apache.camel.model.dataformat.ArtixDSContentType,4,2,0,3,7,4,2,1,2,0.962962963,111,0.111111111,9,0.857142857,0.444444444,1,1,24.5,1,0.5,0
camel,1.6,org.apache.camel.ExchangePattern,10,2,0,73,24,41,72,2,8,0.977777778,259,0.2,9,0.6,0.37037037,1,1,23.9,4,1.8,0
camel,1.6,org.apache.camel.component.cxf.CxfSoapEndpoint,29,1,0,18,57,314,3,17,27,0.920634921,201,1,2,0,0.144827586,0,0,5.620689655,2,0.9655,0
camel,1.6,org.apache.camel.component.cxf.spring.CxfEndpointBean,4,0,1,7,7,4,5,2,4,0.666666667,24,1,0,0,0.5,0,0,4.75,1,0.5,0
camel,1.6,org.apache.camel.impl.DefaultProducerTemplate,53,2,1,24,87,1296,9,19,44,0.684615385,614,1,3,0.215384615,0.240566038,1,1,10.49056604,9,1.2642,5
camel,1.6,org.apache.camel.processor.loadbalancer.LoadBalancerSupport,6,2,2,6,12,0,2,4,4,0,38,1,0,0.736842105,0.666666667,1,1,5.166666667,1,0.8333,0
camel,1.6,org.apache.camel.component.jmx.JMXComponent,5,3,0,4,10,8,1,4,4,0.5,36,1,0,0.921052632,0.36,1,2,6,1,0.6,0
camel,1.6,org.apache.camel.builder.BinaryPredicateSupport,9,1,7,11,17,24,7,4,5,0.375,125,1,2,0,0.444444444,0,0,12.66666667,2,1,0
camel,1.6,org.apache.camel.ExpectedBodyTypeException,3,5,0,4,10,0,1,3,3,0.5,34,1,1,0.894736842,0.555555556,0,0,9.666666667,1,0.6667,1
camel,1.6,org.apache.camel.processor.aggregate.UseLatestAggregationStrategy,3,1,0,6,6,3,4,2,2,2,23,0,0,0,0.833333333,0,0,6.666666667,2,1,0
camel,1.6,org.apache.camel.component.mock.AssertionClause,11,1,2,10,28,49,4,8,9,0.6,118,1,0,0,0.25974026,0,0,9.636363636,2,1,0
camel,1.6,org.apache.camel.model.loadbalancer.TopicLoadBalanceStrategy,2,3,0,4,4,1,0,4,1,2,9,0,0,0.923076923,0.75,1,1,3.5,1,0.5,1
camel,1.6,org.apache.camel.processor.LoopProcessor,5,3,0,9,21,0,1,8,4,0.875,106,0.5,1,0.88,0.4375,0,0,19.4,1,0.6,1
camel,1.6,org.apache.camel.component.cxf.util.UriUtils,3,1,0,2,15,3,1,1,0,2,63,0,0,0,0.5,0,0,20,1,0.6667,0
camel,1.6,org.apache.camel.builder.xml.ResultHandler,2,1,0,9,2,1,8,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
camel,1.6,org.apache.camel.processor.Interceptor,7,3,0,8,13,0,3,5,5,0.166666667,41,1,1,0.814814815,0.476190476,1,1,4.714285714,1,0.7143,2
camel,1.6,org.apache.camel.component.jhc.AsyncResponseHandler,1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,0
camel,1.6,org.apache.camel.scala.dsl.DSL,20,1,0,16,20,190,3,14,20,2,20,0,0,0,0.225,0,0,0,1,1,0
camel,1.6,org.apache.camel.component.cxf.transport.spring.CamelDestinationDefinitionParser,1,1,0,2,3,0,1,1,1,2,7,0,0,1,1,0,0,6,0,0,0
camel,1.6,org.apache.camel.component.bean.ConstantBeanHolder,7,1,0,11,14,11,4,7,7,0.444444444,66,1,2,0,0.4,0,0,8,1,0.5714,0
camel,1.6,org.apache.camel.impl.DefaultProducer,8,2,27,32,16,0,27,5,6,0.285714286,47,1,1,0.666666667,0.34375,1,1,4.75,1,0.875,0
camel,1.6,org.apache.camel.builder.ProcessorBuilder,12,1,0,20,24,66,7,13,11,2,74,0,0,0,0.333333333,0,0,5.166666667,1,0.9167,1
camel,1.6,org.apache.camel.component.restlet.RestletBinding,4,1,0,8,4,6,5,3,4,2,4,0,0,0,0.75,0,0,0,1,1,0
camel,1.6,org.apache.camel.impl.MessageSupport,16,1,1,8,31,112,2,6,12,0.8,150,1,2,0,0.266666667,0,0,8.125,3,1.25,2
camel,1.6,org.apache.camel.component.file.strategy.FileExpressionRenamer,5,1,0,7,17,2,1,6,4,0.625,68,1,1,0,0.4375,0,0,12.2,5,1.4,0
camel,1.6,org.apache.camel.model.RouteType,27,3,0,32,60,245,19,16,24,0.835164835,345,1,1,0.884422111,0.169230769,1,6,11.51851852,3,1.0741,0
camel,1.6,org.apache.camel.component.jms.CamelMessageListener,10,1,0,11,18,21,0,11,9,0.555555556,97,1,4,0,0.211111111,0,0,8.3,1,0.9,0
camel,1.6,org.apache.camel.component.xmpp.XmppEndpoint,39,2,0,24,76,641,4,24,37,0.904135338,453,1,1,0.4,0.155263158,1,1,10.25641026,2,0.9744,0
camel,1.6,org.apache.camel.component.spring.integration.adapter.config.AbstractCamelContextBeanDefinitionParaser,7,0,2,11,31,21,2,9,1,1.166666667,163,1,0,0,0.6,0,0,22.14285714,5,2.4286,0
camel,1.6,org.apache.camel.processor.Logger,19,1,1,15,47,81,7,8,18,0.388888889,474,1,2,0,0.315789474,0,0,23.78947368,8,2.1053,1
camel,1.6,org.apache.camel.component.restlet.RestletEndpoint,16,2,0,14,33,102,4,13,16,0.966666667,144,1,1,0.615384615,0.1953125,0,0,7.375,1,0.9375,0
camel,1.6,org.apache.camel.component.jhc.JhcHeaderFilterStrategy,2,2,0,3,7,1,2,1,1,2,29,0,0,0.941176471,1,0,0,13.5,1,0.5,0
camel,1.6,org.apache.camel.bam.ActivityLifecycle,4,2,0,5,7,4,4,1,2,0.888888889,45,0.333333333,3,0.857142857,0.444444444,1,1,9.5,1,0.5,0
camel,1.6,org.apache.camel.component.cxf.util.Dummy,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
camel,1.6,org.apache.camel.component.cxf.transport.spring.AbstractCamelContextBeanDefinitionParser,4,0,2,10,20,6,2,8,1,1.333333333,85,1,0,0,0.5,0,0,20,5,2,0
camel,1.6,org.apache.camel.component.xmpp.XmppGroupChatProducer,8,3,0,15,36,0,1,15,5,0.642857143,135,1,1,0.777777778,0.357142857,1,1,15.375,2,0.875,0
camel,1.6,org.apache.camel.spring.util.SimpleRouteBuilder,18,3,0,4,35,111,0,4,16,0.81372549,200,1,0,0.76056338,0.311111111,1,2,9.777777778,5,1.2778,0
camel,1.6,org.apache.camel.component.jpa.Consumed,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
camel,1.6,org.apache.camel.component.jms.JmsExchange,21,2,0,14,25,198,8,7,16,0.8,119,1,1,0.678571429,0.217687075,1,3,4.619047619,1,0.8571,0
camel,1.6,org.apache.camel.converter.jaxp.DomConverter,4,1,0,0,14,6,0,0,1,2,79,0,0,0,0.375,0,0,18.75,5,2,0
camel,1.6,org.apache.camel.component.stream.StreamComponent,2,3,0,4,4,1,0,4,1,2,11,0,0,0.972222222,0.666666667,1,1,4.5,1,0.5,0
camel,1.6,org.apache.camel.processor.interceptor.TraceInterceptor,15,3,0,15,38,37,3,14,10,0.589285714,217,1,4,0.647058824,0.314285714,1,1,13.2,5,1.4,8
camel,1.6,org.apache.camel.component.spring.integration.SpringIntegrationComponent,3,3,0,3,5,3,1,3,1,2,25,0,0,0.945945946,0.777777778,1,2,7.333333333,1,0.6667,0
camel,1.6,org.apache.camel.builder.ValueBuilder,26,1,1,9,47,0,4,5,24,0.08,236,1,1,0,0.258241758,0,0,8.038461538,2,1,1
camel,1.6,org.apache.camel.processor.MarshalProcessor,2,1,0,5,11,0,1,4,2,0,39,1,1,0,0.666666667,0,0,18,1,0.5,1
camel,1.6,org.apache.camel.component.cxf.CxfConstants,0,1,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0
camel,1.6,org.apache.camel.util.PackageHelper,3,1,0,3,21,1,1,2,1,0.5,88,1,0,0,0.5,0,0,28,5,1.6667,1
camel,1.6,org.apache.camel.model.loadbalancer.LoadBalancerType,13,2,4,14,33,34,6,9,9,0.625,187,1,1,0.166666667,0.230769231,0,0,13.23076923,3,1.1538,1
camel,1.6,org.apache.camel.spi.HeaderFilterStrategy,2,1,0,40,2,1,40,0,2,2,2,0,0,0,1,0,0,0,1,1,1
camel,1.6,org.apache.camel.impl.ProcessorPollingConsumer,6,3,0,7,13,3,1,6,4,0,46,1,1,0.791666667,0.375,1,1,6.5,1,0.8333,0
camel,1.6,org.apache.camel.scala.dsl.SSplitterType,6,2,0,7,5,9,3,6,6,0.666666667,36,1,3,0.868421053,0.444444444,1,20,4.5,1,0.8333,0
camel,1.6,org.apache.camel.component.bean.BeanProcessor,17,2,0,25,53,104,8,17,13,0.866071429,305,0.714285714,1,0.538461538,0.18125,1,1,16.52941176,2,0.7647,4
camel,1.6,org.apache.camel.component.seda.CollectionProducer,3,3,0,6,7,0,1,5,3,0,29,1,0,0.913043478,0.533333333,0,0,8.333333333,1,0.6667,1
camel,1.6,org.apache.camel.Message,22,1,0,182,22,231,182,1,22,2,22,0,0,0,0.25974026,0,0,0,1,1,2
camel,1.6,org.apache.camel.dataformat.xstream.XStreamDataFormat,6,2,0,9,19,15,0,9,4,2,90,0,0,0.692307692,0.25,1,2,14,2,1,0
camel,1.6,org.apache.camel.builder.ConstantProcessorBuilder,2,1,0,3,3,0,1,2,2,0,12,1,1,0,0.75,0,0,4.5,1,0.5,0
camel,1.6,org.apache.camel.component.restlet.RestletHeaderFilterStrategy,1,2,0,2,4,0,1,1,1,2,14,0,0,1,1,0,0,13,0,0,0
camel,1.6,org.apache.camel.spring.spi.TransactionInterceptor,15,3,0,14,35,57,4,11,10,0.8,195,0.8,3,0.6875,0.241071429,0,0,11.66666667,6,1.0667,0
