MonthlyDate,StateName,LossCode
2/1/2011,Utah,pulb
3/1/2011,Utah,medh
11/1/2010,Utah,medlr
4/1/2011,Utah,nglhr
8/1/2010,Utah,nurf
10/1/2011,Utah,obgor
9/1/2010,Utah,revm
3/1/2011,Utah,sui
11/1/2011,Utah,suit
1/1/2011,Utah,oth
7/1/2011,Utah,pulhr
7/1/2011,Utah,revm
7/1/2011,Utah,sui
5/1/2011,Utah,suit
8/1/2011,Utah,surmp
4/1/2011,Utah,tort
4/1/2011,Utah,accer
1/1/2011,Utah,dc-
7/1/2011,Utah,emt
8/1/2010,Utah,carr
11/1/2011,Utah,cheh
9/1/2010,Utah,dc-
6/1/2011,Utah,dep
4/1/2011,Utah,emt
11/1/2011,Utah,er-
2/1/2011,Utah,er-
2/1/2011,Utah,er-ag
10/1/2011,Utah,er-mt
11/1/2010,Utah,er-ag
7/1/2011,Utah,er-x
10/1/2011,Utah,flr
11/1/2011,Utah,er-x
10/1/2010,Utah,flr
5/1/2011,Utah,flrf
12/1/2010,Utah,flron
8/1/2010,Utah,flrst
10/1/2011,Utah,hemn
2/1/2011,Utah,impay
10/1/2010,Utah,inf
8/1/2011,Utah,medh
9/1/2010,Utah,medlr
9/1/2011,Utah,medpa
4/1/2011,Utah,flrst
4/1/2011,Utah,hemn
2/1/2011,Utah,oth
6/1/2011,Utah,impay
8/1/2011,Utah,inf
10/1/2010,Utah,medh
6/1/2011,Utah,pulhr
9/1/2010,Utah,sui
8/1/2010,Utah,suit
10/1/2011,Utah,medlr
6/1/2011,Utah,obgor
12/1/2010,Utah,tort
11/1/2010,Utah,accer
12/1/2010,Utah,carr
10/1/2011,Utah,dc-
11/1/2011,Utah,dep
8/1/2011,Utah,emt
6/1/2011,Utah,er-
8/1/2011,Utah,nglhr
2/1/2011,Utah,nurf
4/1/2011,Utah,obgor
11/1/2010,Utah,oth
5/1/2011,Utah,pulb
10/1/2011,Utah,suit
6/1/2011,Utah,er-x
2/1/2011,Utah,flrf
8/1/2011,Utah,flron
7/1/2010,Utah,impay
10/1/2011,Utah,inf
5/1/2011,Utah,nurf
8/1/2011,Utah,pulhr
6/1/2011,Utah,carr
5/1/2011,Utah,oth
10/1/2011,Utah,emt
12/1/2010,Utah,suit
11/1/2010,Utah,revm
4/1/2011,Utah,sui
7/1/2011,Utah,suit
5/1/2011,Utah,surmp
10/1/2010,Utah,nglhr
12/1/2010,Utah,nurf
10/1/2011,Utah,er-ag
4/1/2011,Utah,oth
11/1/2011,Utah,er-mt
10/1/2011,Utah,tort
11/1/2010,Utah,sui
10/1/2010,Utah,suit
9/1/2011,Utah,obgor
3/1/2011,Utah,flron
3/1/2011,Utah,pulb
4/1/2011,Utah,pulhr
5/1/2011,Utah,accer
7/1/2011,Utah,carr
2/1/2011,Utah,cheh
5/1/2011,Utah,impay
11/1/2011,Utah,flrf
8/1/2011,Utah,flrst
9/1/2010,Utah,cheh
9/1/2011,Utah,flron
11/1/2011,Utah,hemn
9/1/2011,Utah,impay
1/1/2011,Utah,medh
9/1/2011,Utah,dc-
10/1/2011,Utah,medh
10/1/2011,Utah,pulb
4/1/2011,Utah,revm
12/1/2010,Utah,surmp
4/1/2011,Utah,er-ag
8/1/2011,Utah,medpa
10/1/2011,Utah,medpa
9/1/2011,Utah,er-mt
8/1/2010,Utah,nglhr
10/1/2011,Utah,nurf
7/1/2011,Utah,flr
11/1/2010,Utah,pulb
9/1/2011,Utah,pulhr
12/1/2010,Utah,pulb
9/1/2010,Utah,tort
3/1/2011,Utah,pulhr
8/1/2011,Utah,accer
3/1/2011,Utah,dc-
4/1/2011,Utah,cheh
9/1/2011,Utah,dep
8/1/2010,Utah,er-
9/1/2011,Utah,flrf
11/1/2010,Utah,flr
7/1/2010,Utah,flrst
9/1/2011,Utah,oth
9/1/2010,Utah,pulb
1/1/2011,Utah,hemn
9/1/2010,Utah,impay
6/1/2011,Utah,suit
3/1/2011,Utah,accer
10/1/2010,Utah,cheh
2/1/2011,Utah,dep
1/1/2011,Utah,medpa
10/1/2010,Utah,er-ag
11/1/2011,Utah,nurf
11/1/2011,Utah,flr
11/1/2011,Utah,pulhr
10/1/2011,Utah,revm
9/1/2010,Utah,flrst
10/1/2011,Utah,impay
4/1/2011,Utah,inf
11/1/2011,Utah,tort
10/1/2010,Utah,er-mt
10/1/2011,Utah,er-x
6/1/2011,Utah,nglhr
11/1/2011,Utah,medh
11/1/2011,Utah,pulb
8/1/2010,Utah,revm
7/1/2010,Utah,medpa
8/1/2011,Utah,tort
8/1/2011,Utah,nurf
1/1/2011,Utah,pulhr
1/1/2011,Utah,revm
9/1/2010,Utah,suit
11/1/2011,Utah,impay
1/1/2011,Utah,inf
6/1/2011,Utah,tort
8/1/2011,Utah,medlr
10/1/2010,Utah,nurf
5/1/2011,Utah,medpa
5/1/2011,Utah,cheh
9/1/2010,Utah,dep
8/1/2011,Utah,cheh
8/1/2010,Utah,dep
11/1/2010,Utah,emt
1/1/2011,Utah,accer
11/1/2010,Utah,cheh
3/1/2011,Utah,emt
5/1/2011,Utah,er-ag
7/1/2011,Utah,er-mt
9/1/2011,Utah,er-ag
11/1/2010,Utah,er-mt
5/1/2011,Utah,flr
11/1/2011,Utah,flrst
6/1/2011,Utah,medlr
12/1/2010,Utah,medlr
10/1/2011,Utah,nglhr
4/1/2011,Utah,carr
2/1/2011,Utah,accer
7/1/2010,Utah,er-ag
4/1/2011,Utah,flr
10/1/2010,Utah,flron
5/1/2011,Utah,dc-
7/1/2011,Utah,dep
8/1/2011,Utah,er-
12/1/2011,Utah,er-ag
12/1/2010,Utah,er-x
7/1/2011,Utah,oth
5/1/2011,Utah,sui
1/1/2011,Utah,surmp
7/1/2011,Utah,impay
11/1/2010,Utah,surmp
2/1/2011,Utah,nglhr
9/1/2010,Utah,oth
10/1/2010,Utah,pulhr
5/1/2011,Utah,carr
9/1/2011,Utah,cheh
8/1/2010,Utah,cheh
1/1/2011,Utah,emt
11/1/2011,Utah,accer
5/1/2011,Utah,dep
10/1/2010,Utah,dc-
11/1/2011,Utah,er-ag
2/1/2011,Utah,emt
7/1/2011,Utah,flrf
10/1/2010,Utah,flrst
5/1/2011,Utah,er-
12/1/2010,Utah,flr
8/1/2010,Utah,tort
3/1/2011,Utah,flrst
2/1/2011,Utah,sui
11/1/2011,Utah,medlr
2/1/2011,Utah,obgor
11/1/2010,Utah,medpa
3/1/2011,Utah,nurf
4/1/2011,Utah,impay
5/1/2011,Utah,pulhr
9/1/2011,Utah,revm
9/1/2011,Utah,nglhr
8/1/2011,Utah,oth
12/1/2010,Utah,er-
6/1/2011,Utah,er-ag
4/1/2011,Utah,er-mt
7/1/2010,Utah,er-x
8/1/2010,Utah,er-x
1/1/2011,Utah,flron
11/1/2010,Utah,flrf
12/1/2010,Utah,hemn
1/1/2011,Utah,flrst
6/1/2011,Utah,medh
1/1/2011,Utah,pulb
9/1/2011,Utah,tort
9/1/2010,Utah,inf
7/1/2011,Utah,medh
7/1/2011,Utah,medlr
7/1/2011,Utah,er-
2/1/2011,Utah,medpa
1/1/2011,Utah,er-ag
12/1/2010,Utah,nglhr
1/1/2011,Utah,medlr
9/1/2010,Utah,obgor
11/1/2010,Utah,pulhr
1/1/2011,Utah,obgor
11/1/2011,Utah,revm
11/1/2011,Utah,emt
9/1/2010,Utah,carr
9/1/2010,Utah,er-ag
12/1/2010,Utah,er-mt
7/1/2011,Utah,er-ag
9/1/2010,Utah,er-mt
8/1/2010,Utah,flrf
3/1/2011,Utah,inf
1/1/2011,Utah,nglhr
9/1/2011,Utah,nurf
3/1/2011,Utah,impay
1/1/2011,Utah,impay
11/1/2010,Utah,inf
8/1/2010,Utah,er-mt
9/1/2011,Utah,er-x
8/1/2010,Utah,accer
11/1/2011,Utah,flron
12/1/2011,Utah,flrst
2/1/2011,South Carolina,carr
7/1/2010,South Carolina,emt
9/1/2010,South Carolina,oth
7/1/2010,South Carolina,revm
1/1/2011,South Carolina,er-x
8/1/2010,Ohio,pulb
5/1/2010,Ohio,medpa
6/1/2010,Ohio,carr
7/1/2011,Ohio,oth
6/1/2011,Ohio,flron
9/1/2010,Ohio,sui
1/1/2011,Ohio,dc-
7/1/2011,Ohio,accer
4/1/2011,Ohio,surmp
8/1/2010,Ohio,cheh
11/1/2010,Ohio,nglhr
11/1/2010,Ohio,hemn
1/1/2011,Puerto Rico,emt
9/1/2010,Puerto Rico,accer
5/1/2011,Puerto Rico,flron
2/1/2011,Puerto Rico,revm
2/1/2011,Puerto Rico,flrst
4/1/2011,Puerto Rico,nglhr
10/1/2010,Idaho,sui
4/1/2011,Idaho,hemn
4/1/2011,Idaho,inf
3/1/2010,Utah,revm
3/1/2011,Utah,carr
3/1/2011,Ohio,suit
4/1/2011,Ohio,er-mt
6/1/2010,Ohio,revm
9/1/2011,Ohio,flrst
6/1/2010,Ohio,obgor
8/1/2011,Ohio,pulhr
7/1/2011,Ohio,er-ag
5/1/2010,South Carolina,dc-
4/1/2010,South Carolina,sui
11/1/2010,South Carolina,inf
6/1/2010,South Carolina,tort
11/1/2010,South Carolina,sui
12/1/2010,South Carolina,obgor
3/1/2011,South Carolina,surmp
5/1/2011,Utah,inf
12/1/2010,Florida,surmp
2/1/2011,Florida,pulb
6/1/2011,Florida,nglhr
7/1/2011,Florida,tort
11/1/2010,Florida,pulb
8/1/2010,Florida,cheh
1/1/2011,Colorado,pulb
5/1/2011,Colorado,nurf
6/1/2010,Colorado,suit
7/1/2011,Colorado,nglhr
12/1/2010,Colorado,hemn
7/1/2011,Colorado,er-x
6/1/2010,Utah,carr
6/1/2010,Utah,dep
2/1/2011,Utah,medlr
2/1/2011,Utah,suit
2/1/2010,Puerto Rico,inf
5/1/2011,Puerto Rico,medpa
5/1/2011,Puerto Rico,inf
3/1/2011,Puerto Rico,nurf
12/1/2010,Puerto Rico,flrf
1/1/2011,Puerto Rico,sui
11/1/2010,Puerto Rico,dc-
4/1/2011,Puerto Rico,cheh
7/1/2011,Puerto Rico,pulhr
4/1/2011,Puerto Rico,flron
6/1/2011,Puerto Rico,revm
8/1/2010,Puerto Rico,dc-
7/1/2010,Puerto Rico,pulhr
8/1/2010,Colorado,pulhr
3/1/2010,Colorado,medlr
12/1/2010,Colorado,inf
5/1/2010,Colorado,flron
9/1/2010,Colorado,inf
7/1/2010,Colorado,revm
9/1/2011,Colorado,hemn
12/1/2010,Texas,surmp
3/1/2010,Utah,oth
6/1/2010,Utah,flrf
6/1/2010,Utah,flr
9/1/2010,South Dakota,nglhr
3/1/2011,South Dakota,dc-
9/1/2010,South Dakota,medpa
7/1/2010,South Dakota,medlr
7/1/2011,South Dakota,impay
7/1/2011,South Dakota,medlr
10/1/2010,California,nglhr
7/1/2010,California,oth
6/1/2010,California,dc-
10/1/2010,California,surmp
5/1/2011,California,sui
7/1/2010,California,sui
7/1/2011,California,dc-
3/1/2010,Louisiana,sui
3/1/2011,Louisiana,suit
2/1/2011,Louisiana,nglhr
11/1/2010,Louisiana,oth
7/1/2011,Louisiana,pulb
5/1/2011,Louisiana,revm
4/1/2011,Louisiana,er-
6/1/2011,Texas,er-mt
9/1/2010,Texas,suit
5/1/2010,Texas,suit
8/1/2011,Texas,carr
8/1/2011,Utah,pulb
12/1/2010,Florida,flrst
7/1/2010,Florida,suit
4/1/2010,Texas,tort
7/1/2011,Texas,inf
1/1/2011,Texas,medpa
10/1/2010,Texas,dc-
4/1/2011,Texas,flrf
1/1/2011,Texas,medlr
4/1/2011,Missouri,pulhr
4/1/2010,Missouri,inf
5/1/2010,Missouri,pulb
8/1/2011,Missouri,revm
8/1/2010,Missouri,medh
7/1/2010,Missouri,revm
9/1/2010,Missouri,suit
10/1/2010,Missouri,tort
7/1/2010,Utah,nurf
8/1/2011,Utah,sui
3/1/2010,Missouri,revm
9/1/2010,Missouri,obgor
9/1/2011,Missouri,tort
6/1/2010,Missouri,medlr
11/1/2010,Missouri,tort
5/1/2010,Missouri,emt
10/1/2010,Missouri,inf
8/1/2010,Missouri,nglhr
9/1/2011,Missouri,nurf
3/1/2010,Florida,tort
12/1/2010,Florida,medpa
2/1/2011,Florida,suit
3/1/2011,Florida,dep
9/1/2011,Florida,dc-
7/1/2011,Florida,obgor
7/1/2011,Florida,impay
2/1/2011,Florida,dep
10/1/2010,California,impay
3/1/2010,California,pulhr
3/1/2011,California,surmp
5/1/2010,California,obgor
6/1/2010,California,cheh
8/1/2010,California,obgor
8/1/2010,California,nglhr
11/1/2010,California,obgor
10/1/2011,California,carr
8/1/2010,California,pulhr
7/1/2010,Wyoming,sui
3/1/2011,Wyoming,nglhr
1/1/2011,Wyoming,carr
9/1/2010,Wyoming,pulb
7/1/2010,Wyoming,er-
9/1/2010,Wyoming,tort
1/1/2011,Wyoming,pulb
9/1/2011,Wyoming,surmp
8/1/2010,California,sui
3/1/2011,California,dep
1/1/2011,California,dep
11/1/2010,California,pulhr
1/1/2011,California,er-
2/1/2011,Florida,emt
8/1/2010,Florida,er-ag
3/1/2010,Florida,medpa
6/1/2010,Florida,cheh
5/1/2011,Florida,emt
5/1/2011,Florida,inf
4/1/2011,Florida,er-mt
4/1/2011,Florida,flr
4/1/2011,Florida,dc-
1/1/2011,Florida,oth
6/1/2011,Florida,er-
5/1/2011,Florida,nglhr
5/1/2011,Florida,er-x
3/1/2011,Florida,hemn
5/1/2010,Florida,carr
6/1/2010,Florida,flrf
10/1/2010,Florida,medlr
6/1/2010,Florida,oth
5/1/2010,Florida,surmp
11/1/2010,Florida,tort
1/1/2011,Florida,medpa
7/1/2011,Florida,flrf
7/1/2010,Florida,flrf
10/1/2011,Florida,dc-
6/1/2010,Florida,impay
8/1/2011,Florida,surmp
5/1/2011,Florida,flrst
1/1/2011,Florida,medh
6/1/2011,Florida,nurf
2/1/2011,Florida,oth
12/1/2010,Florida,pulhr
4/1/2010,Tennessee,oth
4/1/2010,Tennessee,obgor
5/1/2010,Tennessee,carr
4/1/2011,Tennessee,dc-
8/1/2010,Tennessee,dc-
12/1/2010,Tennessee,pulb
1/1/2011,Tennessee,hemn
10/1/2010,Florida,tort
11/1/2010,Florida,medlr
6/1/2010,Florida,flron
6/1/2010,Florida,nglhr
6/1/2010,Florida,surmp
11/1/2010,Florida,obgor
1/1/2011,Florida,surmp
4/1/2010,California,oth
4/1/2010,California,flrf
10/1/2010,California,pulb
10/1/2010,California,flrf
5/1/2011,California,tort
8/1/2011,California,suit
4/1/2011,California,nurf
9/1/2010,California,tort
1/1/2011,California,accer
1/1/2011,California,revm
5/1/2010,California,emt
6/1/2010,California,sui
4/1/2011,California,sui
10/1/2010,Georgia,er-mt
11/1/2010,Florida,flron
2/1/2010,Florida,flron
7/1/2010,Florida,flrst
6/1/2010,Florida,carr
12/1/2010,Florida,dc-
1/1/2011,Florida,dc-
6/1/2011,Florida,revm
3/1/2011,Florida,oth
10/1/2010,Florida,medh
11/1/2010,Florida,emt
6/1/2011,Florida,sui
10/1/2011,Florida,medpa
11/1/2011,Florida,sui
4/1/2011,Texas,surmp
11/1/2010,Texas,medlr
9/1/2010,Texas,carr
9/1/2010,Texas,emt
10/1/2010,Texas,tort
10/1/2011,Texas,sui
9/1/2010,Texas,obgor
10/1/2010,Florida,inf
7/1/2010,Florida,nglhr
2/1/2011,Florida,tort
7/1/2011,Florida,pulb
3/1/2010,Florida,er-mt
7/1/2010,Florida,medpa
1/1/2011,Florida,sui
5/1/2011,Florida,flron
3/1/2011,Florida,sui
6/1/2011,Florida,er-ag
4/1/2010,Florida,dc-
8/1/2010,Florida,dc-
4/1/2011,Florida,emt
7/1/2011,Florida,medlr
1/1/2011,Florida,flr
11/1/2010,Puerto Rico,revm
11/1/2010,California,nglhr
2/1/2010,California,cheh
1/1/2011,California,emt
11/1/2010,California,er-ag
6/1/2010,California,flrst
7/1/2010,California,nurf
4/1/2011,California,er-mt
9/1/2011,California,accer
9/1/2010,California,er-x
10/1/2010,California,medh
3/1/2010,Utah,flr
6/1/2010,Florida,tort
2/1/2011,Florida,medh
9/1/2011,Florida,oth
10/1/2011,Florida,oth
8/1/2010,Louisiana,surmp
2/1/2011,Louisiana,surmp
5/1/2011,Louisiana,obgor
9/1/2010,Louisiana,pulhr
6/1/2010,Louisiana,medh
12/1/2010,Louisiana,revm
3/1/2010,Utah,emt
7/1/2010,Utah,medlr
4/1/2010,Florida,emt
4/1/2011,Florida,suit
5/1/2010,Florida,emt
5/1/2011,Florida,dep
11/1/2010,Florida,carr
2/1/2011,Florida,hemn
4/1/2010,Florida,sui
10/1/2010,Florida,nglhr
3/1/2011,Florida,revm
8/1/2010,Florida,nurf
10/1/2010,Florida,er-mt
7/1/2010,Illinois,oth
4/1/2011,Illinois,medpa
1/1/2011,Florida,pulb
9/1/2010,Florida,obgor
2/1/2011,Florida,surmp
3/1/2011,Florida,nurf
5/1/2011,Florida,carr
10/1/2011,Florida,pulb
12/1/2010,California,oth
5/1/2011,California,obgor
4/1/2011,California,flr
8/1/2010,California,inf
7/1/2011,California,er-
10/1/2011,California,sui
8/1/2010,California,cheh
3/1/2010,Florida,carr
10/1/2010,Florida,revm
12/1/2010,Florida,emt
3/1/2011,Florida,dc-
2/1/2011,Florida,sui
9/1/2011,Florida,nurf
4/1/2010,Florida,cheh
11/1/2010,Florida,oth
4/1/2011,Florida,revm
4/1/2011,Florida,sui
8/1/2010,Florida,flr
2/1/2011,Texas,er-ag
7/1/2010,Florida,oth
9/1/2010,Florida,pulb
2/1/2011,Florida,er-mt
7/1/2011,Florida,flr
9/1/2010,Florida,suit
10/1/2010,Florida,accer
2/1/2011,Florida,dc-
11/1/2010,Florida,sui
8/1/2011,Florida,pulhr
9/1/2011,Florida,tort
9/1/2010,Florida,surmp
11/1/2010,Florida,surmp
6/1/2010,Florida,flrst
10/1/2010,Florida,cheh
2/1/2011,Florida,flrf
8/1/2010,Florida,medh
5/1/2011,Florida,pulb
3/1/2011,Florida,cheh
8/1/2010,Florida,obgor
10/1/2011,Florida,nurf
4/1/2010,Utah,flrst
1/1/2011,Florida,er-mt
3/1/2010,Florida,dep
4/1/2010,Florida,nglhr
11/1/2010,Florida,flr
3/1/2011,Florida,surmp
3/1/2011,Florida,impay
7/1/2010,Utah,flron
8/1/2010,Oregon,impay
5/1/2011,Oregon,revm
11/1/2010,Oregon,sui
2/1/2011,Oregon,pulhr
7/1/2011,Oregon,nglhr
8/1/2011,Oregon,er-ag
1/1/2011,Oregon,flron
2/1/2010,Florida,inf
6/1/2010,Florida,medlr
7/1/2011,Florida,pulhr
8/1/2011,Florida,nurf
12/1/2010,Florida,er-ag
12/1/2010,Florida,flrf
10/1/2011,Florida,pulhr
11/1/2010,California,suit
9/1/2010,California,suit
11/1/2010,California,surmp
8/1/2011,California,dc-
11/1/2010,California,er-
5/1/2010,Utah,surmp
6/1/2011,Missouri,er-
1/1/2011,Florida,accer
7/1/2010,Florida,dc-
11/1/2010,Florida,medh
1/1/2011,Florida,nurf
12/1/2010,Florida,sui
3/1/2010,Louisiana,accer
9/1/2010,Puerto Rico,suit
2/1/2010,Pennsylvania,dc-
5/1/2011,Pennsylvania,revm
5/1/2010,Pennsylvania,carr
4/1/2011,Pennsylvania,revm
7/1/2011,Pennsylvania,obgor
